Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,116,Convocatoria 1994/06,Almería,CHERCOS,246,206,40,206,0,0,1
PP - PARTIDO POPULAR,81,Convocatoria 1994/06,Almería,CHERCOS,246,206,40,206,0,0,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,6,Convocatoria 1994/06,Almería,CHERCOS,246,206,40,206,0,0,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,2,Convocatoria 1994/06,Almería,CHERCOS,246,206,40,206,0,0,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1,Convocatoria 1994/06,Almería,CHERCOS,246,206,40,206,0,0,1
FORO Y CDS - COALICION FORO Y CDS,0,Convocatoria 1994/06,Almería,CHERCOS,246,206,40,206,0,0,1
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,CHERCOS,246,206,40,206,0,0,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,CHERCOS,246,206,40,206,0,0,1
