Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,182,Convocatoria 1994/06,Almería,BEDAR,370,281,89,280,1,2,1
PP - PARTIDO POPULAR,63,Convocatoria 1994/06,Almería,BEDAR,370,281,89,280,1,2,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,31,Convocatoria 1994/06,Almería,BEDAR,370,281,89,280,1,2,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1,Convocatoria 1994/06,Almería,BEDAR,370,281,89,280,1,2,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,1,Convocatoria 1994/06,Almería,BEDAR,370,281,89,280,1,2,1
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,BEDAR,370,281,89,280,1,2,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,BEDAR,370,281,89,280,1,2,1
FORO Y CDS - COALICION FORO Y CDS,0,Convocatoria 1994/06,Almería,BEDAR,370,281,89,280,1,2,1
