Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PP - PARTIDO POPULAR,812,Convocatoria 1994/06,Almería,GADOR,1928,1691,237,1681,10,3,2
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,746,Convocatoria 1994/06,Almería,GADOR,1928,1691,237,1681,10,3,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,103,Convocatoria 1994/06,Almería,GADOR,1928,1691,237,1681,10,3,2
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,9,Convocatoria 1994/06,Almería,GADOR,1928,1691,237,1681,10,3,2
FORO Y CDS - COALICION FORO Y CDS,7,Convocatoria 1994/06,Almería,GADOR,1928,1691,237,1681,10,3,2
NA - NACION ANDALUZA,1,Convocatoria 1994/06,Almería,GADOR,1928,1691,237,1681,10,3,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1994/06,Almería,GADOR,1928,1691,237,1681,10,3,2
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,GADOR,1928,1691,237,1681,10,3,2
