Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,1.03,Convocatoria 1994/06,Almería,FIÑANA,2066,1585,481,1578,7,5,3
PP - PARTIDO POPULAR,372.0,Convocatoria 1994/06,Almería,FIÑANA,2066,1585,481,1578,7,5,3
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,122.0,Convocatoria 1994/06,Almería,FIÑANA,2066,1585,481,1578,7,5,3
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,42.0,Convocatoria 1994/06,Almería,FIÑANA,2066,1585,481,1578,7,5,3
FORO Y CDS - COALICION FORO Y CDS,3.0,Convocatoria 1994/06,Almería,FIÑANA,2066,1585,481,1578,7,5,3
PH - PARTIDO HUMANISTA,2.0,Convocatoria 1994/06,Almería,FIÑANA,2066,1585,481,1578,7,5,3
NA - NACION ANDALUZA,2.0,Convocatoria 1994/06,Almería,FIÑANA,2066,1585,481,1578,7,5,3
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0.0,Convocatoria 1994/06,Almería,FIÑANA,2066,1585,481,1578,7,5,3
