Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PP - PARTIDO POPULAR,82,Convocatoria 1994/06,Almería,ENIX,200,153,47,153,0,2,1
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,61,Convocatoria 1994/06,Almería,ENIX,200,153,47,153,0,2,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,7,Convocatoria 1994/06,Almería,ENIX,200,153,47,153,0,2,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,1,Convocatoria 1994/06,Almería,ENIX,200,153,47,153,0,2,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1994/06,Almería,ENIX,200,153,47,153,0,2,1
FORO Y CDS - COALICION FORO Y CDS,0,Convocatoria 1994/06,Almería,ENIX,200,153,47,153,0,2,1
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,ENIX,200,153,47,153,0,2,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,ENIX,200,153,47,153,0,2,1
