Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PP - PARTIDO POPULAR,2.864,Convocatoria 1994/06,Almería,VICAR,8567,5607,2960,5564,43,25,13
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,1.814,Convocatoria 1994/06,Almería,VICAR,8567,5607,2960,5564,43,25,13
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,643.0,Convocatoria 1994/06,Almería,VICAR,8567,5607,2960,5564,43,25,13
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,159.0,Convocatoria 1994/06,Almería,VICAR,8567,5607,2960,5564,43,25,13
FORO Y CDS - COALICION FORO Y CDS,25.0,Convocatoria 1994/06,Almería,VICAR,8567,5607,2960,5564,43,25,13
NA - NACION ANDALUZA,17.0,Convocatoria 1994/06,Almería,VICAR,8567,5607,2960,5564,43,25,13
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,9.0,Convocatoria 1994/06,Almería,VICAR,8567,5607,2960,5564,43,25,13
PH - PARTIDO HUMANISTA,8.0,Convocatoria 1994/06,Almería,VICAR,8567,5607,2960,5564,43,25,13
