Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,3.168,Convocatoria 1994/06,Almería,NIJAR,10.126,6482,3644,6445,37,23,17
PP - PARTIDO POPULAR,2.488,Convocatoria 1994/06,Almería,NIJAR,10.126,6482,3644,6445,37,23,17
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,582.0,Convocatoria 1994/06,Almería,NIJAR,10.126,6482,3644,6445,37,23,17
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,113.0,Convocatoria 1994/06,Almería,NIJAR,10.126,6482,3644,6445,37,23,17
FORO Y CDS - COALICION FORO Y CDS,28.0,Convocatoria 1994/06,Almería,NIJAR,10.126,6482,3644,6445,37,23,17
NA - NACION ANDALUZA,21.0,Convocatoria 1994/06,Almería,NIJAR,10.126,6482,3644,6445,37,23,17
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,13.0,Convocatoria 1994/06,Almería,NIJAR,10.126,6482,3644,6445,37,23,17
PH - PARTIDO HUMANISTA,9.0,Convocatoria 1994/06,Almería,NIJAR,10.126,6482,3644,6445,37,23,17
