Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,71,Convocatoria 1994/06,Almería,CASTRO FILABRES,126,98,28,96,2,2,1
PP - PARTIDO POPULAR,11,Convocatoria 1994/06,Almería,CASTRO FILABRES,126,98,28,96,2,2,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,9,Convocatoria 1994/06,Almería,CASTRO FILABRES,126,98,28,96,2,2,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,2,Convocatoria 1994/06,Almería,CASTRO FILABRES,126,98,28,96,2,2,1
NA - NACION ANDALUZA,1,Convocatoria 1994/06,Almería,CASTRO FILABRES,126,98,28,96,2,2,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,CASTRO FILABRES,126,98,28,96,2,2,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1994/06,Almería,CASTRO FILABRES,126,98,28,96,2,2,1
FORO Y CDS - COALICION FORO Y CDS,0,Convocatoria 1994/06,Almería,CASTRO FILABRES,126,98,28,96,2,2,1
