Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PP - PARTIDO POPULAR,1.02,Convocatoria 1994/06,Almería,GARRUCHA,3257,2309,948,2297,12,12,4
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,931.0,Convocatoria 1994/06,Almería,GARRUCHA,3257,2309,948,2297,12,12,4
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,206.0,Convocatoria 1994/06,Almería,GARRUCHA,3257,2309,948,2297,12,12,4
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,95.0,Convocatoria 1994/06,Almería,GARRUCHA,3257,2309,948,2297,12,12,4
FORO Y CDS - COALICION FORO Y CDS,15.0,Convocatoria 1994/06,Almería,GARRUCHA,3257,2309,948,2297,12,12,4
NA - NACION ANDALUZA,8.0,Convocatoria 1994/06,Almería,GARRUCHA,3257,2309,948,2297,12,12,4
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,8.0,Convocatoria 1994/06,Almería,GARRUCHA,3257,2309,948,2297,12,12,4
PH - PARTIDO HUMANISTA,2.0,Convocatoria 1994/06,Almería,GARRUCHA,3257,2309,948,2297,12,12,4
