Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,176,Convocatoria 1994/06,Almería,ILLAR,396,367,29,365,2,1,1
PP - PARTIDO POPULAR,167,Convocatoria 1994/06,Almería,ILLAR,396,367,29,365,2,1,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,19,Convocatoria 1994/06,Almería,ILLAR,396,367,29,365,2,1,1
FORO Y CDS - COALICION FORO Y CDS,1,Convocatoria 1994/06,Almería,ILLAR,396,367,29,365,2,1,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,1,Convocatoria 1994/06,Almería,ILLAR,396,367,29,365,2,1,1
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,ILLAR,396,367,29,365,2,1,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,ILLAR,396,367,29,365,2,1,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1994/06,Almería,ILLAR,396,367,29,365,2,1,1
