Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,281,Convocatoria 1994/06,Almería,ULEILA DEL CAMPO,802,548,254,546,2,2,1
PP - PARTIDO POPULAR,156,Convocatoria 1994/06,Almería,ULEILA DEL CAMPO,802,548,254,546,2,2,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,96,Convocatoria 1994/06,Almería,ULEILA DEL CAMPO,802,548,254,546,2,2,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,9,Convocatoria 1994/06,Almería,ULEILA DEL CAMPO,802,548,254,546,2,2,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1,Convocatoria 1994/06,Almería,ULEILA DEL CAMPO,802,548,254,546,2,2,1
PH - PARTIDO HUMANISTA,1,Convocatoria 1994/06,Almería,ULEILA DEL CAMPO,802,548,254,546,2,2,1
FORO Y CDS - COALICION FORO Y CDS,0,Convocatoria 1994/06,Almería,ULEILA DEL CAMPO,802,548,254,546,2,2,1
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,ULEILA DEL CAMPO,802,548,254,546,2,2,1
