Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,866,Convocatoria 1994/06,Almería,VELEZ-BLANCO,1858,1410,448,1393,17,1,4
PP - PARTIDO POPULAR,433,Convocatoria 1994/06,Almería,VELEZ-BLANCO,1858,1410,448,1393,17,1,4
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,58,Convocatoria 1994/06,Almería,VELEZ-BLANCO,1858,1410,448,1393,17,1,4
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,26,Convocatoria 1994/06,Almería,VELEZ-BLANCO,1858,1410,448,1393,17,1,4
FORO Y CDS - COALICION FORO Y CDS,4,Convocatoria 1994/06,Almería,VELEZ-BLANCO,1858,1410,448,1393,17,1,4
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,3,Convocatoria 1994/06,Almería,VELEZ-BLANCO,1858,1410,448,1393,17,1,4
PH - PARTIDO HUMANISTA,2,Convocatoria 1994/06,Almería,VELEZ-BLANCO,1858,1410,448,1393,17,1,4
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,VELEZ-BLANCO,1858,1410,448,1393,17,1,4
