Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,168,Convocatoria 1994/06,Almería,NACIMIENTO,446,357,89,355,2,0,1
PP - PARTIDO POPULAR,144,Convocatoria 1994/06,Almería,NACIMIENTO,446,357,89,355,2,0,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,23,Convocatoria 1994/06,Almería,NACIMIENTO,446,357,89,355,2,0,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,19,Convocatoria 1994/06,Almería,NACIMIENTO,446,357,89,355,2,0,1
FORO Y CDS - COALICION FORO Y CDS,1,Convocatoria 1994/06,Almería,NACIMIENTO,446,357,89,355,2,0,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1994/06,Almería,NACIMIENTO,446,357,89,355,2,0,1
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,NACIMIENTO,446,357,89,355,2,0,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,NACIMIENTO,446,357,89,355,2,0,1
