Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,3.002,Convocatoria 1994/06,Almería,HUERCAL-OVERA,10.277,7616,2661,7581,35,55,18
PP - PARTIDO POPULAR,2.812,Convocatoria 1994/06,Almería,HUERCAL-OVERA,10.277,7616,2661,7581,35,55,18
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,1.177,Convocatoria 1994/06,Almería,HUERCAL-OVERA,10.277,7616,2661,7581,35,55,18
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,478.0,Convocatoria 1994/06,Almería,HUERCAL-OVERA,10.277,7616,2661,7581,35,55,18
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,26.0,Convocatoria 1994/06,Almería,HUERCAL-OVERA,10.277,7616,2661,7581,35,55,18
NA - NACION ANDALUZA,14.0,Convocatoria 1994/06,Almería,HUERCAL-OVERA,10.277,7616,2661,7581,35,55,18
FORO Y CDS - COALICION FORO Y CDS,13.0,Convocatoria 1994/06,Almería,HUERCAL-OVERA,10.277,7616,2661,7581,35,55,18
PH - PARTIDO HUMANISTA,4.0,Convocatoria 1994/06,Almería,HUERCAL-OVERA,10.277,7616,2661,7581,35,55,18
