Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,46,Convocatoria 1994/06,Almería,BEIRES,125,97,28,97,0,1,1
PP - PARTIDO POPULAR,43,Convocatoria 1994/06,Almería,BEIRES,125,97,28,97,0,1,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,5,Convocatoria 1994/06,Almería,BEIRES,125,97,28,97,0,1,1
FORO Y CDS - COALICION FORO Y CDS,1,Convocatoria 1994/06,Almería,BEIRES,125,97,28,97,0,1,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,1,Convocatoria 1994/06,Almería,BEIRES,125,97,28,97,0,1,1
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,BEIRES,125,97,28,97,0,1,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,BEIRES,125,97,28,97,0,1,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1994/06,Almería,BEIRES,125,97,28,97,0,1,1
