Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,685,Convocatoria 1994/06,Almería,ZURGENA,1649,1232,417,1217,15,2,2
PP - PARTIDO POPULAR,449,Convocatoria 1994/06,Almería,ZURGENA,1649,1232,417,1217,15,2,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,56,Convocatoria 1994/06,Almería,ZURGENA,1649,1232,417,1217,15,2,2
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,24,Convocatoria 1994/06,Almería,ZURGENA,1649,1232,417,1217,15,2,2
FORO Y CDS - COALICION FORO Y CDS,1,Convocatoria 1994/06,Almería,ZURGENA,1649,1232,417,1217,15,2,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1994/06,Almería,ZURGENA,1649,1232,417,1217,15,2,2
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,ZURGENA,1649,1232,417,1217,15,2,2
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,ZURGENA,1649,1232,417,1217,15,2,2
