Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,2.604,Convocatoria 1994/06,Almería,ALBOX,6803,4870,1933,4844,26,30,11
PP - PARTIDO POPULAR,1.688,Convocatoria 1994/06,Almería,ALBOX,6803,4870,1933,4844,26,30,11
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,360.0,Convocatoria 1994/06,Almería,ALBOX,6803,4870,1933,4844,26,30,11
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,128.0,Convocatoria 1994/06,Almería,ALBOX,6803,4870,1933,4844,26,30,11
FORO Y CDS - COALICION FORO Y CDS,14.0,Convocatoria 1994/06,Almería,ALBOX,6803,4870,1933,4844,26,30,11
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,9.0,Convocatoria 1994/06,Almería,ALBOX,6803,4870,1933,4844,26,30,11
NA - NACION ANDALUZA,7.0,Convocatoria 1994/06,Almería,ALBOX,6803,4870,1933,4844,26,30,11
PH - PARTIDO HUMANISTA,4.0,Convocatoria 1994/06,Almería,ALBOX,6803,4870,1933,4844,26,30,11
