Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,450,Convocatoria 1994/06,Almería,FINES,1236,1007,229,999,8,4,2
PP - PARTIDO POPULAR,215,Convocatoria 1994/06,Almería,FINES,1236,1007,229,999,8,4,2
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,169,Convocatoria 1994/06,Almería,FINES,1236,1007,229,999,8,4,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,157,Convocatoria 1994/06,Almería,FINES,1236,1007,229,999,8,4,2
NA - NACION ANDALUZA,2,Convocatoria 1994/06,Almería,FINES,1236,1007,229,999,8,4,2
FORO Y CDS - COALICION FORO Y CDS,1,Convocatoria 1994/06,Almería,FINES,1236,1007,229,999,8,4,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1,Convocatoria 1994/06,Almería,FINES,1236,1007,229,999,8,4,2
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,FINES,1236,1007,229,999,8,4,2
