Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,608,Convocatoria 1994/06,Almería,LUBRIN,1633,1059,574,1044,15,9,3
PP - PARTIDO POPULAR,237,Convocatoria 1994/06,Almería,LUBRIN,1633,1059,574,1044,15,9,3
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,127,Convocatoria 1994/06,Almería,LUBRIN,1633,1059,574,1044,15,9,3
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,51,Convocatoria 1994/06,Almería,LUBRIN,1633,1059,574,1044,15,9,3
FORO Y CDS - COALICION FORO Y CDS,8,Convocatoria 1994/06,Almería,LUBRIN,1633,1059,574,1044,15,9,3
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,3,Convocatoria 1994/06,Almería,LUBRIN,1633,1059,574,1044,15,9,3
NA - NACION ANDALUZA,1,Convocatoria 1994/06,Almería,LUBRIN,1633,1059,574,1044,15,9,3
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,LUBRIN,1633,1059,574,1044,15,9,3
