Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,524,Convocatoria 1994/06,Almería,BENAHADUX,1778,1391,387,1385,6,9,2
PP - PARTIDO POPULAR,449,Convocatoria 1994/06,Almería,BENAHADUX,1778,1391,387,1385,6,9,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,370,Convocatoria 1994/06,Almería,BENAHADUX,1778,1391,387,1385,6,9,2
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,24,Convocatoria 1994/06,Almería,BENAHADUX,1778,1391,387,1385,6,9,2
FORO Y CDS - COALICION FORO Y CDS,4,Convocatoria 1994/06,Almería,BENAHADUX,1778,1391,387,1385,6,9,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,3,Convocatoria 1994/06,Almería,BENAHADUX,1778,1391,387,1385,6,9,2
NA - NACION ANDALUZA,2,Convocatoria 1994/06,Almería,BENAHADUX,1778,1391,387,1385,6,9,2
PH - PARTIDO HUMANISTA,0,Convocatoria 1994/06,Almería,BENAHADUX,1778,1391,387,1385,6,9,2
