Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,2.374,Convocatoria 1994/06,Almería,CUEVAS DEL ALMANZORA,6770,5139,1631,5117,22,26,11
PP - PARTIDO POPULAR,1.792,Convocatoria 1994/06,Almería,CUEVAS DEL ALMANZORA,6770,5139,1631,5117,22,26,11
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,735.0,Convocatoria 1994/06,Almería,CUEVAS DEL ALMANZORA,6770,5139,1631,5117,22,26,11
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,134.0,Convocatoria 1994/06,Almería,CUEVAS DEL ALMANZORA,6770,5139,1631,5117,22,26,11
FORO Y CDS - COALICION FORO Y CDS,30.0,Convocatoria 1994/06,Almería,CUEVAS DEL ALMANZORA,6770,5139,1631,5117,22,26,11
NA - NACION ANDALUZA,14.0,Convocatoria 1994/06,Almería,CUEVAS DEL ALMANZORA,6770,5139,1631,5117,22,26,11
PH - PARTIDO HUMANISTA,6.0,Convocatoria 1994/06,Almería,CUEVAS DEL ALMANZORA,6770,5139,1631,5117,22,26,11
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,6.0,Convocatoria 1994/06,Almería,CUEVAS DEL ALMANZORA,6770,5139,1631,5117,22,26,11
