Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,706,Convocatoria 1994/06,Almería,VIATOR,2133,1712,421,1706,6,7,3
PP - PARTIDO POPULAR,668,Convocatoria 1994/06,Almería,VIATOR,2133,1712,421,1706,6,7,3
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,292,Convocatoria 1994/06,Almería,VIATOR,2133,1712,421,1706,6,7,3
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,23,Convocatoria 1994/06,Almería,VIATOR,2133,1712,421,1706,6,7,3
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,4,Convocatoria 1994/06,Almería,VIATOR,2133,1712,421,1706,6,7,3
FORO Y CDS - COALICION FORO Y CDS,2,Convocatoria 1994/06,Almería,VIATOR,2133,1712,421,1706,6,7,3
PH - PARTIDO HUMANISTA,2,Convocatoria 1994/06,Almería,VIATOR,2133,1712,421,1706,6,7,3
NA - NACION ANDALUZA,2,Convocatoria 1994/06,Almería,VIATOR,2133,1712,421,1706,6,7,3
