Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,357,Convocatoria 1994/06,Almería,LUCAR,605,481,124,479,2,4,1
PP - PARTIDO POPULAR,108,Convocatoria 1994/06,Almería,LUCAR,605,481,124,479,2,4,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOCATORIA ANDALUCIA,7,Convocatoria 1994/06,Almería,LUCAR,605,481,124,479,2,4,1
PA-PAP - COALICION ANDALUCISTA PODER ANDALUZ,2,Convocatoria 1994/06,Almería,LUCAR,605,481,124,479,2,4,1
PH - PARTIDO HUMANISTA,1,Convocatoria 1994/06,Almería,LUCAR,605,481,124,479,2,4,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1994/06,Almería,LUCAR,605,481,124,479,2,4,1
FORO Y CDS - COALICION FORO Y CDS,0,Convocatoria 1994/06,Almería,LUCAR,605,481,124,479,2,4,1
NA - NACION ANDALUZA,0,Convocatoria 1994/06,Almería,LUCAR,605,481,124,479,2,4,1
