Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,67,Convocatoria 1996/03,Almería,CASTRO FILABRES,124,95,29,95,0,0,1
PP - PARTIDO POPULAR,20,Convocatoria 1996/03,Almería,CASTRO FILABRES,124,95,29,95,0,0,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,7,Convocatoria 1996/03,Almería,CASTRO FILABRES,124,95,29,95,0,0,1
PA - PARTIDO ANDALUCISTA,1,Convocatoria 1996/03,Almería,CASTRO FILABRES,124,95,29,95,0,0,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,CASTRO FILABRES,124,95,29,95,0,0,1
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,CASTRO FILABRES,124,95,29,95,0,0,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,CASTRO FILABRES,124,95,29,95,0,0,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,CASTRO FILABRES,124,95,29,95,0,0,1
