Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,937,Convocatoria 1996/03,Almería,VIATOR,2324,1948,376,1939,9,9,3
PP - PARTIDO POPULAR,728,Convocatoria 1996/03,Almería,VIATOR,2324,1948,376,1939,9,9,3
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,224,Convocatoria 1996/03,Almería,VIATOR,2324,1948,376,1939,9,9,3
PA - PARTIDO ANDALUCISTA,38,Convocatoria 1996/03,Almería,VIATOR,2324,1948,376,1939,9,9,3
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1,Convocatoria 1996/03,Almería,VIATOR,2324,1948,376,1939,9,9,3
FEA - FALANGE ESPAÑOLA AUTENTICA,1,Convocatoria 1996/03,Almería,VIATOR,2324,1948,376,1939,9,9,3
PH - PARTIDO HUMANISTA,1,Convocatoria 1996/03,Almería,VIATOR,2324,1948,376,1939,9,9,3
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,VIATOR,2324,1948,376,1939,9,9,3
