Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PP - PARTIDO POPULAR,83,Convocatoria 1996/03,Almería,BAYARQUE,204,171,33,170,1,0,1
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,82,Convocatoria 1996/03,Almería,BAYARQUE,204,171,33,170,1,0,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,3,Convocatoria 1996/03,Almería,BAYARQUE,204,171,33,170,1,0,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,2,Convocatoria 1996/03,Almería,BAYARQUE,204,171,33,170,1,0,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,BAYARQUE,204,171,33,170,1,0,1
PA - PARTIDO ANDALUCISTA,0,Convocatoria 1996/03,Almería,BAYARQUE,204,171,33,170,1,0,1
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,BAYARQUE,204,171,33,170,1,0,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,BAYARQUE,204,171,33,170,1,0,1
