Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,3.175,Convocatoria 1996/03,Almería,ALBOX,6987,5631,1356,5609,22,42,11
PP - PARTIDO POPULAR,1.956,Convocatoria 1996/03,Almería,ALBOX,6987,5631,1356,5609,22,42,11
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,276.0,Convocatoria 1996/03,Almería,ALBOX,6987,5631,1356,5609,22,42,11
PA - PARTIDO ANDALUCISTA,140.0,Convocatoria 1996/03,Almería,ALBOX,6987,5631,1356,5609,22,42,11
NA - NACION ANDALUZA,9.0,Convocatoria 1996/03,Almería,ALBOX,6987,5631,1356,5609,22,42,11
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,7.0,Convocatoria 1996/03,Almería,ALBOX,6987,5631,1356,5609,22,42,11
FEA - FALANGE ESPAÑOLA AUTENTICA,3.0,Convocatoria 1996/03,Almería,ALBOX,6987,5631,1356,5609,22,42,11
PH - PARTIDO HUMANISTA,1.0,Convocatoria 1996/03,Almería,ALBOX,6987,5631,1356,5609,22,42,11
