Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PP - PARTIDO POPULAR,85,Convocatoria 1996/03,Almería,BENIZALON,250,181,69,180,1,1,1
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,84,Convocatoria 1996/03,Almería,BENIZALON,250,181,69,180,1,1,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,9,Convocatoria 1996/03,Almería,BENIZALON,250,181,69,180,1,1,1
PA - PARTIDO ANDALUCISTA,1,Convocatoria 1996/03,Almería,BENIZALON,250,181,69,180,1,1,1
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,BENIZALON,250,181,69,180,1,1,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,BENIZALON,250,181,69,180,1,1,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,BENIZALON,250,181,69,180,1,1,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,BENIZALON,250,181,69,180,1,1,1
