Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,678,Convocatoria 1996/03,Almería,PURCHENA,1342,1140,202,1129,11,4,2
PP - PARTIDO POPULAR,356,Convocatoria 1996/03,Almería,PURCHENA,1342,1140,202,1129,11,4,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,66,Convocatoria 1996/03,Almería,PURCHENA,1342,1140,202,1129,11,4,2
PA - PARTIDO ANDALUCISTA,23,Convocatoria 1996/03,Almería,PURCHENA,1342,1140,202,1129,11,4,2
NA - NACION ANDALUZA,2,Convocatoria 1996/03,Almería,PURCHENA,1342,1140,202,1129,11,4,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,PURCHENA,1342,1140,202,1129,11,4,2
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,PURCHENA,1342,1140,202,1129,11,4,2
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,PURCHENA,1342,1140,202,1129,11,4,2
