Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,747,Convocatoria 1996/03,Almería,ZURGENA,1649,1364,285,1358,6,2,2
PP - PARTIDO POPULAR,531,Convocatoria 1996/03,Almería,ZURGENA,1649,1364,285,1358,6,2,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,63,Convocatoria 1996/03,Almería,ZURGENA,1649,1364,285,1358,6,2,2
PA - PARTIDO ANDALUCISTA,13,Convocatoria 1996/03,Almería,ZURGENA,1649,1364,285,1358,6,2,2
NA - NACION ANDALUZA,1,Convocatoria 1996/03,Almería,ZURGENA,1649,1364,285,1358,6,2,2
PH - PARTIDO HUMANISTA,1,Convocatoria 1996/03,Almería,ZURGENA,1649,1364,285,1358,6,2,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,ZURGENA,1649,1364,285,1358,6,2,2
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,ZURGENA,1649,1364,285,1358,6,2,2
