Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,219,Convocatoria 1996/03,Almería,NACIMIENTO,458,403,55,402,1,1,1
PP - PARTIDO POPULAR,154,Convocatoria 1996/03,Almería,NACIMIENTO,458,403,55,402,1,1,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,24,Convocatoria 1996/03,Almería,NACIMIENTO,458,403,55,402,1,1,1
PA - PARTIDO ANDALUCISTA,4,Convocatoria 1996/03,Almería,NACIMIENTO,458,403,55,402,1,1,1
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,NACIMIENTO,458,403,55,402,1,1,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,NACIMIENTO,458,403,55,402,1,1,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,NACIMIENTO,458,403,55,402,1,1,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,NACIMIENTO,458,403,55,402,1,1,1
