Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,1.202,Convocatoria 1996/03,Almería,FIÑANA,2093,1758,335,1748,10,8,3
PP - PARTIDO POPULAR,415.0,Convocatoria 1996/03,Almería,FIÑANA,2093,1758,335,1748,10,8,3
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,98.0,Convocatoria 1996/03,Almería,FIÑANA,2093,1758,335,1748,10,8,3
PA - PARTIDO ANDALUCISTA,21.0,Convocatoria 1996/03,Almería,FIÑANA,2093,1758,335,1748,10,8,3
PH - PARTIDO HUMANISTA,3.0,Convocatoria 1996/03,Almería,FIÑANA,2093,1758,335,1748,10,8,3
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1.0,Convocatoria 1996/03,Almería,FIÑANA,2093,1758,335,1748,10,8,3
FEA - FALANGE ESPAÑOLA AUTENTICA,0.0,Convocatoria 1996/03,Almería,FIÑANA,2093,1758,335,1748,10,8,3
NA - NACION ANDALUZA,0.0,Convocatoria 1996/03,Almería,FIÑANA,2093,1758,335,1748,10,8,3
