Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,597,Convocatoria 1996/03,Almería,ARBOLEAS,1205,958,247,952,6,4,2
PP - PARTIDO POPULAR,294,Convocatoria 1996/03,Almería,ARBOLEAS,1205,958,247,952,6,4,2
PA - PARTIDO ANDALUCISTA,31,Convocatoria 1996/03,Almería,ARBOLEAS,1205,958,247,952,6,4,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,25,Convocatoria 1996/03,Almería,ARBOLEAS,1205,958,247,952,6,4,2
FEA - FALANGE ESPAÑOLA AUTENTICA,1,Convocatoria 1996/03,Almería,ARBOLEAS,1205,958,247,952,6,4,2
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,ARBOLEAS,1205,958,247,952,6,4,2
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,ARBOLEAS,1205,958,247,952,6,4,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,ARBOLEAS,1205,958,247,952,6,4,2
