Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,868,Convocatoria 1996/03,Almería,ANTAS,2007,1648,359,1638,10,9,3
PP - PARTIDO POPULAR,625,Convocatoria 1996/03,Almería,ANTAS,2007,1648,359,1638,10,9,3
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,75,Convocatoria 1996/03,Almería,ANTAS,2007,1648,359,1638,10,9,3
PA - PARTIDO ANDALUCISTA,49,Convocatoria 1996/03,Almería,ANTAS,2007,1648,359,1638,10,9,3
NA - NACION ANDALUZA,9,Convocatoria 1996/03,Almería,ANTAS,2007,1648,359,1638,10,9,3
PH - PARTIDO HUMANISTA,2,Convocatoria 1996/03,Almería,ANTAS,2007,1648,359,1638,10,9,3
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1,Convocatoria 1996/03,Almería,ANTAS,2007,1648,359,1638,10,9,3
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,ANTAS,2007,1648,359,1638,10,9,3
