Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,130,Convocatoria 1996/03,Almería,BACARES,256,205,51,204,1,0,1
PP - PARTIDO POPULAR,65,Convocatoria 1996/03,Almería,BACARES,256,205,51,204,1,0,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,6,Convocatoria 1996/03,Almería,BACARES,256,205,51,204,1,0,1
PA - PARTIDO ANDALUCISTA,2,Convocatoria 1996/03,Almería,BACARES,256,205,51,204,1,0,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1,Convocatoria 1996/03,Almería,BACARES,256,205,51,204,1,0,1
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,BACARES,256,205,51,204,1,0,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,BACARES,256,205,51,204,1,0,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,BACARES,256,205,51,204,1,0,1
