Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PP - PARTIDO POPULAR,197,Convocatoria 1996/03,Almería,HUECIJA,452,400,52,395,5,1,1
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,153,Convocatoria 1996/03,Almería,HUECIJA,452,400,52,395,5,1,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,27,Convocatoria 1996/03,Almería,HUECIJA,452,400,52,395,5,1,1
PA - PARTIDO ANDALUCISTA,16,Convocatoria 1996/03,Almería,HUECIJA,452,400,52,395,5,1,1
FEA - FALANGE ESPAÑOLA AUTENTICA,1,Convocatoria 1996/03,Almería,HUECIJA,452,400,52,395,5,1,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,HUECIJA,452,400,52,395,5,1,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,HUECIJA,452,400,52,395,5,1,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,HUECIJA,452,400,52,395,5,1,1
