Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,622,Convocatoria 1996/03,Almería,MARIA,1371,1100,271,1098,2,3,3
PP - PARTIDO POPULAR,333,Convocatoria 1996/03,Almería,MARIA,1371,1100,271,1098,2,3,3
PA - PARTIDO ANDALUCISTA,101,Convocatoria 1996/03,Almería,MARIA,1371,1100,271,1098,2,3,3
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,36,Convocatoria 1996/03,Almería,MARIA,1371,1100,271,1098,2,3,3
PH - PARTIDO HUMANISTA,2,Convocatoria 1996/03,Almería,MARIA,1371,1100,271,1098,2,3,3
NA - NACION ANDALUZA,1,Convocatoria 1996/03,Almería,MARIA,1371,1100,271,1098,2,3,3
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,MARIA,1371,1100,271,1098,2,3,3
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,MARIA,1371,1100,271,1098,2,3,3
