Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,1.714,Convocatoria 1996/03,Almería,VERA,4807,3819,988,3783,36,12,6
PP - PARTIDO POPULAR,1.324,Convocatoria 1996/03,Almería,VERA,4807,3819,988,3783,36,12,6
PA - PARTIDO ANDALUCISTA,371.0,Convocatoria 1996/03,Almería,VERA,4807,3819,988,3783,36,12,6
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,344.0,Convocatoria 1996/03,Almería,VERA,4807,3819,988,3783,36,12,6
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,7.0,Convocatoria 1996/03,Almería,VERA,4807,3819,988,3783,36,12,6
NA - NACION ANDALUZA,5.0,Convocatoria 1996/03,Almería,VERA,4807,3819,988,3783,36,12,6
PH - PARTIDO HUMANISTA,3.0,Convocatoria 1996/03,Almería,VERA,4807,3819,988,3783,36,12,6
FEA - FALANGE ESPAÑOLA AUTENTICA,3.0,Convocatoria 1996/03,Almería,VERA,4807,3819,988,3783,36,12,6
