Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PP - PARTIDO POPULAR,81,Convocatoria 1996/03,Almería,ENIX,208,173,35,170,3,1,1
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,71,Convocatoria 1996/03,Almería,ENIX,208,173,35,170,3,1,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,11,Convocatoria 1996/03,Almería,ENIX,208,173,35,170,3,1,1
PA - PARTIDO ANDALUCISTA,4,Convocatoria 1996/03,Almería,ENIX,208,173,35,170,3,1,1
PH - PARTIDO HUMANISTA,2,Convocatoria 1996/03,Almería,ENIX,208,173,35,170,3,1,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,ENIX,208,173,35,170,3,1,1
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,ENIX,208,173,35,170,3,1,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,ENIX,208,173,35,170,3,1,1
