Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,540,Convocatoria 1996/03,Almería,ABLA,1273,1090,183,1084,6,6,2
PP - PARTIDO POPULAR,440,Convocatoria 1996/03,Almería,ABLA,1273,1090,183,1084,6,6,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,76,Convocatoria 1996/03,Almería,ABLA,1273,1090,183,1084,6,6,2
PA - PARTIDO ANDALUCISTA,19,Convocatoria 1996/03,Almería,ABLA,1273,1090,183,1084,6,6,2
NA - NACION ANDALUZA,2,Convocatoria 1996/03,Almería,ABLA,1273,1090,183,1084,6,6,2
FEA - FALANGE ESPAÑOLA AUTENTICA,1,Convocatoria 1996/03,Almería,ABLA,1273,1090,183,1084,6,6,2
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,ABLA,1273,1090,183,1084,6,6,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,ABLA,1273,1090,183,1084,6,6,2
