Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,1.162,Convocatoria 1996/03,Almería,TABERNAS,2389,1920,469,1917,3,4,5
PP - PARTIDO POPULAR,588.0,Convocatoria 1996/03,Almería,TABERNAS,2389,1920,469,1917,3,4,5
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,96.0,Convocatoria 1996/03,Almería,TABERNAS,2389,1920,469,1917,3,4,5
PA - PARTIDO ANDALUCISTA,63.0,Convocatoria 1996/03,Almería,TABERNAS,2389,1920,469,1917,3,4,5
NA - NACION ANDALUZA,3.0,Convocatoria 1996/03,Almería,TABERNAS,2389,1920,469,1917,3,4,5
FEA - FALANGE ESPAÑOLA AUTENTICA,1.0,Convocatoria 1996/03,Almería,TABERNAS,2389,1920,469,1917,3,4,5
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0.0,Convocatoria 1996/03,Almería,TABERNAS,2389,1920,469,1917,3,4,5
PH - PARTIDO HUMANISTA,0.0,Convocatoria 1996/03,Almería,TABERNAS,2389,1920,469,1917,3,4,5
