Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,332,Convocatoria 1996/03,Almería,ALBOLODUY,691,596,95,594,2,3,1
PP - PARTIDO POPULAR,230,Convocatoria 1996/03,Almería,ALBOLODUY,691,596,95,594,2,3,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,21,Convocatoria 1996/03,Almería,ALBOLODUY,691,596,95,594,2,3,1
PA - PARTIDO ANDALUCISTA,7,Convocatoria 1996/03,Almería,ALBOLODUY,691,596,95,594,2,3,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,1,Convocatoria 1996/03,Almería,ALBOLODUY,691,596,95,594,2,3,1
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,ALBOLODUY,691,596,95,594,2,3,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,ALBOLODUY,691,596,95,594,2,3,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,ALBOLODUY,691,596,95,594,2,3,1
