Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,772,Convocatoria 1996/03,Almería,BENAHADUX,1890,1628,262,1619,9,9,2
PP - PARTIDO POPULAR,494,Convocatoria 1996/03,Almería,BENAHADUX,1890,1628,262,1619,9,9,2
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,302,Convocatoria 1996/03,Almería,BENAHADUX,1890,1628,262,1619,9,9,2
PA - PARTIDO ANDALUCISTA,28,Convocatoria 1996/03,Almería,BENAHADUX,1890,1628,262,1619,9,9,2
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,10,Convocatoria 1996/03,Almería,BENAHADUX,1890,1628,262,1619,9,9,2
PH - PARTIDO HUMANISTA,2,Convocatoria 1996/03,Almería,BENAHADUX,1890,1628,262,1619,9,9,2
NA - NACION ANDALUZA,2,Convocatoria 1996/03,Almería,BENAHADUX,1890,1628,262,1619,9,9,2
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,BENAHADUX,1890,1628,262,1619,9,9,2
