Partido,Votos,Convocatoria,Provincia,Municipio,Censo,Nº votantes,Abstenciones,Votos válidos,Votos nulos,Votos en blanco,Núm. de mesas
PSOE-A - PARTIDO SOCIALISTA OBRERO ESPAÑOL DE ANDALUCIA,108,Convocatoria 1996/03,Almería,ALICUN,200,186,14,185,1,0,1
PP - PARTIDO POPULAR,66,Convocatoria 1996/03,Almería,ALICUN,200,186,14,185,1,0,1
IULV-CA - IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,8,Convocatoria 1996/03,Almería,ALICUN,200,186,14,185,1,0,1
PA - PARTIDO ANDALUCISTA,3,Convocatoria 1996/03,Almería,ALICUN,200,186,14,185,1,0,1
PCPA - PARTIDO COMUNISTA DEL PUEBLO ANDALUZ,0,Convocatoria 1996/03,Almería,ALICUN,200,186,14,185,1,0,1
NA - NACION ANDALUZA,0,Convocatoria 1996/03,Almería,ALICUN,200,186,14,185,1,0,1
PH - PARTIDO HUMANISTA,0,Convocatoria 1996/03,Almería,ALICUN,200,186,14,185,1,0,1
FEA - FALANGE ESPAÑOLA AUTENTICA,0,Convocatoria 1996/03,Almería,ALICUN,200,186,14,185,1,0,1
